Year of Film Release,Film,Film Studio/Producer(s),is_winner,clean_name
1927/28 (1st),Wings,"Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)",True,wings-1927
1927/28 (1st),7th Heaven,"Fox (William Fox, producer)",False,7th-heaven-1927
1927/28 (1st),The Racket,"The Caddo Company (Howard Hughes, producer)",False,the-racket-1927
1928/29 (2nd) [a],The Broadway Melody,"Metro-Goldwyn-Mayer (Irving Thalberg & Lawrence Weingarten, producers)",True,the-broadway-melody-1928
1928/29 (2nd) [a],Alibi,"Feature Productions (Roland West, producer)",False,alibi-1928
1928/29 (2nd) [a],The Hollywood Revue,"Metro-Goldwyn-Mayer (Irving Thalberg & Harry Rapf, producers)",False,the-hollywood-revue-1928
1928/29 (2nd) [a],In Old Arizona,"Fox (Winfield Sheehan, producer)",False,in-old-arizona-1928
1928/29 (2nd) [a],The Patriot,Paramount Famous Lasky,False,the-patriot-1928
1929/30 (3rd),All Quiet on the Western Front,"Universal (Carl Laemmle Jr., producer)",True,all-quiet-on-the-western-front-1929
1929/30 (3rd),The Big House,"Cosmopolitan (Irving Thalberg, producer)",False,the-big-house-1929
1929/30 (3rd),Disraeli,"Warner Bros. (Jack L. Warner & Darryl F. Zanuck, producers)",False,disraeli-1929
1929/30 (3rd),The Divorcee,"Metro-Goldwyn-Mayer (Robert Z. Leonard, producer)",False,the-divorcee-1929
1929/30 (3rd),The Love Parade,"Paramount Famous Lasky (Ernst Lubitsch, producer)",False,the-love-parade-1929
1930/31 (4th),Cimarron,"RKO Radio (William LeBaron, producer)",True,cimarron-1930
1930/31 (4th),East Lynne,Fox,False,east-lynne-1930
1930/31 (4th),The Front Page,"The Caddo Company (Howard Hughes & Lewis Milestone, producers)",False,the-front-page-1930
1930/31 (4th),Skippy,"Paramount Publix (Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)",False,skippy-1930
1930/31 (4th),Trader Horn,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)",False,trader-horn-1930
1931/32 (5th),Grand Hotel,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)",True,grand-hotel-1931
1931/32 (5th),Arrowsmith,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",False,arrowsmith-1931
1931/32 (5th),Bad Girl,Fox,False,bad-girl-1931
1931/32 (5th),The Champ,"Metro-Goldwyn-Mayer (King Vidor, producer)",False,the-champ-1931
1931/32 (5th),Five Star Final,"First National (Hal B. Wallis, producer)",False,five-star-final-1931
1931/32 (5th),One Hour with You,"Paramount Publix (Ernst Lubitsch, producer)",False,one-hour-with-you-1931
1931/32 (5th),Shanghai Express,"Paramount Publix (Adolph Zukor, producer)",False,shanghai-express-1931
1931/32 (5th),The Smiling Lieutenant,"Paramount Publix (Ernst Lubitsch, producer)",False,the-smiling-lieutenant-1931
1932/33 (6th) [b],Cavalcade,"Fox (Frank Lloyd & Winfield Sheehan, producers)",True,cavalcade-1932
1932/33 (6th) [b],42nd Street,Warner Bros.,False,42nd-street-1932
1932/33 (6th) [b],A Farewell to Arms,Paramount,False,a-farewell-to-arms-1932
1932/33 (6th) [b],I Am a Fugitive from a Chain Gang,Warner Bros.,False,i-am-a-fugitive-from-a-chain-gang-1932
1932/33 (6th) [b],Lady for a Day,Columbia,False,lady-for-a-day-1932
1932/33 (6th) [b],Little Women,RKO Radio,False,little-women-1932
1932/33 (6th) [b],The Private Life of Henry VIII,London Films,False,the-private-life-of-henry-viii-1932
1932/33 (6th) [b],She Done Him Wrong,Paramount,False,she-done-him-wrong-1932
1932/33 (6th) [b],Smilin' Through,Metro-Goldwyn-Mayer,False,smilin-through-1932
1932/33 (6th) [b],State Fair,Fox,False,state-fair-1932
1934 (7th) [c],It Happened One Night,"Columbia (Frank Capra & Harry Cohn, producer)",True,it-happened-one-night-1934
1934 (7th) [c],The Barretts of Wimpole Street,Metro-Goldwyn-Mayer,False,the-barretts-of-wimpole-street-1934
1934 (7th) [c],Cleopatra,Paramount,False,cleopatra-1934
1934 (7th) [c],Flirtation Walk,First National,False,flirtation-walk-1934
1934 (7th) [c],The Gay Divorcee,RKO Radio,False,the-gay-divorcee-1934
1934 (7th) [c],Here Comes the Navy,Warner Bros.,False,here-comes-the-navy-1934
1934 (7th) [c],The House of Rothschild,20th Century,False,the-house-of-rothschild-1934
1934 (7th) [c],Imitation of Life,Universal,False,imitation-of-life-1934
1934 (7th) [c],One Night of Love,Columbia,False,one-night-of-love-1934
1934 (7th) [c],The Thin Man,Metro-Goldwyn-Mayer,False,the-thin-man-1934
1934 (7th) [c],Viva Villa!,Metro-Goldwyn-Mayer,False,viva-villa-1934
1934 (7th) [c],The White Parade,Jesse L. Lasky (production company),False,the-white-parade-1934
1935 (8th) [d],Mutiny on the Bounty,"Metro-Goldwyn-Mayer (Frank Lloyd & Irving Thalberg, producers)",True,mutiny-on-the-bounty-1935
1935 (8th) [d],Alice Adams,RKO Radio,False,alice-adams-1935
1935 (8th) [d],Broadway Melody of 1936,Metro-Goldwyn-Mayer,False,broadway-melody-of-1936-1935
1935 (8th) [d],Captain Blood,Cosmopolitan,False,captain-blood-1935
1935 (8th) [d],David Copperfield,Metro-Goldwyn-Mayer,False,david-copperfield-1935
1935 (8th) [d],The Informer,RKO Radio,False,the-informer-1935
1935 (8th) [d],The Lives of a Bengal Lancer,Paramount,False,the-lives-of-a-bengal-lancer-1935
1935 (8th) [d],A Midsummer Night's Dream,Warner Bros.,False,a-midsummer-nights-dream-1935
1935 (8th) [d],Les Misérables,20th Century,False,les-miserables-1935
1935 (8th) [d],Naughty Marietta,Metro-Goldwyn-Mayer,False,naughty-marietta-1935
1935 (8th) [d],Ruggles of Red Gap,Paramount,False,ruggles-of-red-gap-1935
1935 (8th) [d],Top Hat,RKO Radio,False,top-hat-1935
1936 (9th),The Great Ziegfeld,"Metro-Goldwyn-Mayer (Hunt Stromberg, producer)",True,the-great-ziegfeld-1936
1936 (9th),Anthony Adverse,Warner Bros.,False,anthony-adverse-1936
1936 (9th),Dodsworth,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",False,dodsworth-1936
1936 (9th),Libeled Lady,Metro-Goldwyn-Mayer,False,libeled-lady-1936
1936 (9th),Mr. Deeds Goes to Town,Columbia,False,mr-deeds-goes-to-town-1936
1936 (9th),Romeo and Juliet,Metro-Goldwyn-Mayer,False,romeo-and-juliet-1936
1936 (9th),San Francisco,Metro-Goldwyn-Mayer,False,san-francisco-1936
1936 (9th),The Story of Louis Pasteur,Cosmopolitan,False,the-story-of-louis-pasteur-1936
1936 (9th),A Tale of Two Cities,Metro-Goldwyn-Mayer,False,a-tale-of-two-cities-1936
1936 (9th),Three Smart Girls,Universal,False,three-smart-girls-1936
1937 (10th),The Life of Emile Zola,"Warner Bros. (Henry Blanke, producer)",True,the-life-of-emile-zola-1937
1937 (10th),The Awful Truth,Columbia,False,the-awful-truth-1937
1937 (10th),Captains Courageous,Metro-Goldwyn-Mayer,False,captains-courageous-1937
