year,Film,url_tried,rating,keywords,stars,user_reviews,critic_reviews,metascore,cast_number,longitud,imdb_url,url_used,found,error
1927.0,Wings,https://letterboxd.com/film/wings-1927,7.5,"['Coming-of-Age', 'War Epic', 'Action', 'Drama', 'Romance', 'War']","[""Clara BowCharles 'Buddy' RogersRichard Arlen""]",136,85.0,78.0,36,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0018578/,https://letterboxd.com/film/wings,True,
1927.0,7th Heaven,https://letterboxd.com/film/7th-heaven-1927,7.5,"['Drama', 'Romance']",['Janet GaynorCharles FarrellBen Bard'],41,40.0,,22,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0018379/,https://letterboxd.com/film/7th-heaven-1927,True,
1928.0,The Racket,https://letterboxd.com/film/the-racket-1927,6.6,"['Film Noir', 'Crime', 'Drama']",['Thomas MeighanLouis WolheimMarie Prevost'],31,21.0,,29,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0019304/,https://letterboxd.com/film/the-racket,True,
1929.0,The Broadway Melody,https://letterboxd.com/film/the-broadway-melody-1928,5.5,"['Classic Musical', 'Showbiz Drama', 'Drama', 'Musical', 'Romance']",['Charles KingAnita PageBessie Love'],110,47.0,66.0,38,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0019729/,https://letterboxd.com/film/the-broadway-melody,True,
1931.0,Alibi,https://letterboxd.com/film/alibi-1928,7.4,['Mystery'],['Austin TrevorFranklin DyallElizabeth Allan'],,,,12,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0021598/,https://letterboxd.com/film/alibi,True,
1929.0,The Hollywood Revue,https://letterboxd.com/film/the-hollywood-revue-1928,5.6,[],[Conrad NagelJack BennyJohn Gilbert],55,16.0,,48,(130 min),,,True,
1928.0,In Old Arizona,https://letterboxd.com/film/in-old-arizona-1928,5.5,"['Classical Western', 'Drama', 'Western']",['Edmund LoweWarner BaxterDorothy Burgess'],33,29.0,,32,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0020018/,https://letterboxd.com/film/in-old-arizona,True,
1928.0,The Patriot,https://letterboxd.com/film/the-patriot-1928,,"['Conspiracy Thriller', 'Drama', 'History', 'Thriller']",['Emil JanningsFlorence VidorLewis Stone'],3,6.0,,11,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0019257/,https://letterboxd.com/film/the-patriot-1928,True,
1930.0,All Quiet on the Western Front,https://letterboxd.com/film/all-quiet-on-the-western-front-1929,8.1,"['Epic', 'Psychological Drama', 'Tragedy', 'War Epic', 'Drama', 'War']",['Louis WolheimLew AyresJohn Wray'],320,102,91,47,(152 min),https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt1016150/,https://letterboxd.com/film/all-quiet-on-the-western-front-1929,True,
1930.0,The Big House,https://letterboxd.com/film/the-big-house-1929,7.1,"['Crime', 'Drama', 'Thriller']",['Chester MorrisWallace BeeryLewis Stone'],52,30.0,74.0,29,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0020686/,https://letterboxd.com/film/the-big-house,True,
1929.0,Disraeli,https://letterboxd.com/film/disraeli-1929,6.1,"['Political Drama', 'Biography', 'Drama', 'History']",['George ArlissDoris LloydDavid Torrence'],34,20.0,,20,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0019823/,https://letterboxd.com/film/disraeli,True,
