year,classification_rating,rating,keywords,stars,user_reviews,critic_reviews,metascore,cast_number,budget,revenue,opening_weekend,longitud,imdb_url,Film,url_tried,url_used,found,error,film_key_from_url_tried,film_key_from_url_used,film_key_from_url,film_key_from_name,name_only,film_key
1927.0,,7.5,"['Coming-of-Age', 'War Epic', 'Action', 'Drama', 'Romance', 'War']","[""Clara BowCharles 'Buddy' RogersRichard Arlen""]",136,85.0,78.0,36,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0018578/,Wings,https://letterboxd.com/film/wings-1927,https://letterboxd.com/film/wings,True,,wings-1927,wings,wings-1927,wings-1927,wings,wings-1927
1927.0,,7.5,"['Drama', 'Romance']",['Janet GaynorCharles FarrellBen Bard'],41,40.0,,22,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0018379/,7th Heaven,https://letterboxd.com/film/7th-heaven-1927,https://letterboxd.com/film/7th-heaven-1927,True,,7th-heaven-1927,7th-heaven-1927,7th-heaven-1927,7th-heaven-1927,7th-heaven,7th-heaven-1927
1928.0,,6.6,"['Film Noir', 'Crime', 'Drama']",['Thomas MeighanLouis WolheimMarie Prevost'],31,21.0,,29,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0019304/,The Racket,https://letterboxd.com/film/the-racket-1927,https://letterboxd.com/film/the-racket,True,,the-racket-1927,the-racket,the-racket-1927,the-racket-1928,the-racket,the-racket-1927
1929.0,,5.5,"['Classic Musical', 'Showbiz Drama', 'Drama', 'Musical', 'Romance']",['Charles KingAnita PageBessie Love'],110,47.0,66.0,38,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0019729/,The Broadway Melody,https://letterboxd.com/film/the-broadway-melody-1928,https://letterboxd.com/film/the-broadway-melody,True,,the-broadway-melody-1928,the-broadway-melody,the-broadway-melody-1928,the-broadway-melody-1929,the-broadway-melody,the-broadway-melody-1928
1931.0,,7.4,['Mystery'],['Austin TrevorFranklin DyallElizabeth Allan'],,,,12,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0021598/,Alibi,https://letterboxd.com/film/alibi-1928,https://letterboxd.com/film/alibi,True,,alibi-1928,alibi,alibi-1928,alibi-1931,alibi,alibi-1928
,,,,,,,,,,,,,,The Hollywood Revue,https://letterboxd.com/film/the-hollywood-revue-1928,,False,,the-hollywood-revue-1928,,the-hollywood-revue-1928,the-hollywood-revue,the-hollywood-revue,the-hollywood-revue-1928
1928.0,,5.5,"['Classical Western', 'Drama', 'Western']",['Edmund LoweWarner BaxterDorothy Burgess'],33,29.0,,32,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0020018/,In Old Arizona,https://letterboxd.com/film/in-old-arizona-1928,https://letterboxd.com/film/in-old-arizona,True,,in-old-arizona-1928,in-old-arizona,in-old-arizona-1928,in-old-arizona-1928,in-old-arizona,in-old-arizona-1928
1928.0,,,"['Conspiracy Thriller', 'Drama', 'History', 'Thriller']",['Emil JanningsFlorence VidorLewis Stone'],3,6.0,,11,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0019257/,The Patriot,https://letterboxd.com/film/the-patriot-1928,https://letterboxd.com/film/the-patriot-1928,True,,the-patriot-1928,the-patriot-1928,the-patriot-1928,the-patriot-1928,the-patriot,the-patriot-1928
2022.0,,7.8,"['German', 'Epic', 'Period Drama', 'Psychological Drama', 'Tragedy', 'War Epic', 'Drama', 'History', 'War']",['Felix KammererAlbrecht SchuchAaron Hilmer'],908,219.0,76.0,59,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt1016150/,All Quiet on the Western Front,https://letterboxd.com/film/all-quiet-on-the-western-front-2022,https://letterboxd.com/film/all-quiet-on-the-western-front-2022,True,,all-quiet-on-the-western-front-2022,all-quiet-on-the-western-front-2022,all-quiet-on-the-western-front-2022,all-quiet-on-the-western-front-2022,all-quiet-on-the-western-front,all-quiet-on-the-western-front-2022
1930.0,,7.1,"['Crime', 'Drama', 'Thriller']",['Chester MorrisWallace BeeryLewis Stone'],52,30.0,74.0,29,,,,,https://slyb.app.link/vtz1COZnXAb?$canonical_url=https://m.imdb.com/?$canonical_url=https://m.imdb.com/title/tt0020686/,The Big House,https://letterboxd.com/film/the-big-house-1929,https://letterboxd.com/film/the-big-house,True,,the-big-house-1929,the-big-house,the-big-house-1929,the-big-house-1930,the-big-house,the-big-house-1929
