tomatometer_score,popcornmeter_score,film_name,film_key_cleaned,name_without_year,film_key
94,79,wings,wings,wings,wings-1927
100,84,7th_heaven,7th-heaven,7th-heaven,7th-heaven-1927
100,67,the_racket,the-racket,the-racket,the-racket-1927
42,21,the_broadway_melody,the-broadway-melody,the-broadway-melody,the-broadway-melody-1928
56,35,alibi,alibi,alibi,alibi-1928
43,17,the_hollywood_revue,the-hollywood-revue,the-hollywood-revue,the-hollywood-revue-1928
56,35,in_old_arizona,in-old-arizona,in-old-arizona,in-old-arizona-1928
100,58,the_patriot,the-patriot,the-patriot,the-patriot-1928
98,89,all_quiet_on_the_western_front,all-quiet-on-the-western-front,all-quiet-on-the-western-front,all-quiet-on-the-western-front-1929
100,77,the_love_parade,the-love-parade,the-love-parade,the-love-parade-1929
52,26,cimarron,cimarron,cimarron,cimarron-1930
100,35,trader_horn,trader-horn,trader-horn,trader-horn-1930
87,77,grand_hotel,grand-hotel,grand-hotel,grand-hotel-1931
89,43,arrowsmith,arrowsmith,arrowsmith,arrowsmith-1931
96,76,the_champ,the-champ,the-champ,the-champ-1931
91,79,five_star_final,five-star-final,five-star-final,five-star-final-1931
86,74,one_hour_with_you,one-hour-with-you,one-hour-with-you,one-hour-with-you-1931
88,66,the_smiling_lieutenant,the-smiling-lieutenant,the-smiling-lieutenant,the-smiling-lieutenant-1931
64,27,cavalcade,cavalcade,cavalcade,cavalcade-1932
92,75,42nd_street,42nd-street,42nd-street,42nd-street-1932
96,91,i_am_a_fugitive_from_a_chain_gang_1932,i-am-a-fugitive-from-a-chain-gang-1932,i-am-a-fugitive-from-a-chain-gang,i-am-a-fugitive-from-a-chain-gang-1932
100,79,lady_for_a_day,lady-for-a-day,lady-for-a-day,lady-for-a-day-1932
93,53,she_done_him_wrong,she-done-him-wrong,she-done-him-wrong,she-done-him-wrong-1932
98,93,it_happened_one_night,it-happened-one-night,it-happened-one-night,it-happened-one-night-1934
100,27,flirtation_walk,flirtation-walk,flirtation-walk,flirtation-walk-1934
83,39,here_comes_the_navy,here-comes-the-navy,here-comes-the-navy,here-comes-the-navy-1934
100,55,the_house_of_rothschild,the-house-of-rothschild,the-house-of-rothschild,the-house-of-rothschild-1934
88,85,imitation_of_life,imitation-of-life,imitation-of-life,imitation-of-life-1934
63,41,one_night_of_love,one-night-of-love,one-night-of-love,one-night-of-love-1934
98,93,the_thin_man_1934,the-thin-man-1934,the-thin-man,the-thin-man-1934
60,46,viva_villa,viva-villa,viva-villa,viva-villa-1934
96,84,mutiny_on_the_bounty,mutiny-on-the-bounty,mutiny-on-the-bounty,mutiny-on-the-bounty-1935
89,71,alice_adams_1935,alice-adams-1935,alice-adams,alice-adams-1935
90,77,broadway_melody_of_1936_1935,broadway-melody-of-1936-1935,broadway-melody-of-1936,broadway-melody-of-1936-1935
100,90,captain_blood_1935,captain-blood-1935,captain-blood,captain-blood-1935
100,76,david_copperfield_1935,david-copperfield-1935,david-copperfield,david-copperfield-1935
89,77,the_informer_1935,the-informer-1935,the-informer,the-informer-1935
56,76,naughty_marietta,naughty-marietta,naughty-marietta,naughty-marietta-1935
100,89,ruggles_of_red_gap,ruggles-of-red-gap,ruggles-of-red-gap,ruggles-of-red-gap-1935
100,90,top_hat,top-hat,top-hat,top-hat-1935
72,50,the_great_ziegfeld,the-great-ziegfeld,the-great-ziegfeld,the-great-ziegfeld-1936
18,47,anthony_adverse,anthony-adverse,anthony-adverse,anthony-adverse-1936
91,86,dodsworth,dodsworth,dodsworth,dodsworth-1936
86,87,libeled_lady,libeled-lady,libeled-lady,libeled-lady-1936
90,86,mr_deeds_goes_to_town,mr-deeds-goes-to-town,mr-deeds-goes-to-town,mr-deeds-goes-to-town-1936
92,71,san_francisco,san-francisco,san-francisco,san-francisco-1936
86,53,three_smart_girls,three-smart-girls,three-smart-girls,three-smart-girls-1936
