tomatometer_score,popcornmeter_score,film_name
94%,79%,wings
100%,84%,7th_heaven
100%,67%,the_racket
42%,21%,the_broadway_melody
56%,35%,alibi
43%,17%,the_hollywood_revue
56%,35%,in_old_arizona
100%,58%,the_patriot
98%,89%,all_quiet_on_the_western_front
100%,77%,the_love_parade
52%,26%,cimarron
Tomatometer,,the_front_page
Tomatometer,,skippy
100%,35%,trader_horn
87%,77%,grand_hotel
89%,43%,arrowsmith
Tomatometer,Popcornmeter,bad_girl_1931
96%,76%,the_champ
91%,79%,five_star_final
86%,74%,one_hour_with_you
88%,66%,the_smiling_lieutenant
64%,27%,cavalcade
92%,75%,42nd_street
96%,91%,i_am_a_fugitive_from_a_chain_gang_1932
100%,79%,lady_for_a_day
Tomatometer,,little_women
93%,53%,she_done_him_wrong
98%,93%,it_happened_one_night
Tomatometer,,cleopatra
100%,27%,flirtation_walk
83%,39%,here_comes_the_navy
100%,55%,the_house_of_rothschild
88%,85%,imitation_of_life
63%,41%,one_night_of_love
98%,93%,the_thin_man_1934
60%,46%,viva_villa
57%,Popcornmeter,the_white_parade
96%,84%,mutiny_on_the_bounty
89%,71%,alice_adams_1935
90%,77%,broadway_melody_of_1936_1935
100%,90%,captain_blood_1935
100%,76%,david_copperfield_1935
89%,77%,the_informer_1935
Tomatometer,,a_midsummer_nights_dream
Tomatometer,,les_miserables
56%,76%,naughty_marietta
100%,89%,ruggles_of_red_gap
100%,90%,top_hat
72%,50%,the_great_ziegfeld
18%,47%,anthony_adverse
91%,86%,dodsworth
86%,87%,libeled_lady
90%,86%,mr_deeds_goes_to_town
Tomatometer,,romeo_and_juliet
92%,71%,san_francisco
Tomatometer,Popcornmeter,a_tale_of_two_cities
86%,53%,three_smart_girls
94%,89%,captains_courageous_1937
83%,77%,dead_end_1937
67%,52%,in_old_chicago
92%,82%,lost_horizon
96%,87%,stage_door
90%,80%,a_star_is_born
94%,88%,you_cant_take_it_with_you_1938
100%,89%,the_adventures_of_robin_hood_1938
83%,46%,alexanders_ragtime_band
86%,81%,boys_town_1938
90%,72%,the_citadel
100%,79%,four_daughters
97%,92%,grand_illusion
96%,82%,jezebel
Tomatometer,,pygmalion
90%,92%,gone_with_the_wind_1939
83%,80%,dark_victory_1939
Tomatometer,,goodbye_mr_chips
92%,71%,love_affair_1939
97%,94%,mr_smith_goes_to_washington
95%,89%,ninotchka_1939
Tomatometer,Popcornmeter,of_mice_and_men
Tomatometer,Popcornmeter,stagecoach
98%,89%,the_wizard_of_oz_1939
31%,66%,wuthering_heights
37%,39%,rebecca
83%,84%,all_this_and_heaven_too_1940
95%,81%,foreign_correspondent
75%,72%,kitty_foyle_1940
100%,82%,the_letter_1940
100%,70%,the_long_voyage_home
100%,92%,the_philadelphia_story
93%,81%,how_green_was_my_valley
33%,71%,blossoms_in_the_dust
99%,90%,citizen_kane_1941
100%,82%,here_comes_mr_jordan
100%,79%,hold_back_the_dawn
100%,87%,the_little_foxes
99%,91%,the_maltese_falcon
100%,55%,one_foot_in_heaven
81%,87%,sergeant_york
97%,77%,suspicion_1941
93%,84%,mrs_miniver_1942
88%,76%,49th_parallel
100%,79%,kings_row_1942
82%,89%,random_harvest
89%,46%,wake_island
91%,83%,yankee_doodle_dandy
Tomatometer,,casablanca
64%,58%,for_whom_the_bell_tolls
89%,75%,heaven_can_wait_1943
100%,69%,the_human_comedy_1943
90%,75%,in_which_we_serve
78%,68%,madame_curie
100%,81%,the_more_the_merrier
80%,64%,watch_on_the_rhine
85%,74%,going_my_way
97%,95%,double_indemnity
89%,90%,gaslight
77%,79%,since_you_went_away
89%,40%,wilson
56%,78%,anchors_aweigh_1945
88%,90%,mildred_pierce_1945
Tomatometer,,spellbound
100%,74%,henry_v_1946
94%,95%,its_a_wonderful_life_1946
56%,71%,the_razors_edge
100%,75%,the_yearling
82%,78%,gentlemans_agreement
85%,81%,the_bishops_wife
88%,75%,crossfire_1947
100%,88%,great_expectations_1947
96%,87%,miracle_on_34th_street
100%,91%,hamlet
100%,89%,johnny_belinda_1948
Tomatometer,,the_red_shoes
12%,40%,all_the_kings_men
78%,82%,battleground_1949
Tomatometer,,the_heiress
Tomatometer,,a_letter_to_three_wives
Tomatometer,,born_yesterday
Tomatometer,,father_of_the_bride
92%,59%,king_solomons_mines_1950
98%,95%,sunset_boulevard
95%,78%,an_american_in_paris
100%,73%,decision_before_dawn
Tomatometer,,a_place_in_the_sun
Tomatometer,Watch on Fandango at Home,quo_vadis
97%,89%,a_streetcar_named_desire_1951
Tomatometer,Popcornmeter,high_noon
79%,64%,ivanhoe_1952
Tomatometer,Popcornmeter,moulin_rouge
Tomatometer,,from_here_to_eternity
96%,81%,julius_caesar_1953
96%,93%,roman_holiday
97%,81%,shane
99%,95%,on_the_waterfront
89%,87%,seven_brides_for_seven_brothers_1954
60%,43%,three_coins_in_the_fountain
96%,87%,marty
53%,56%,love_is_a_many_splendored_thing
45%,54%,picnic
72%,57%,around_the_world_in_80_days_1956
73%,81%,friendly_persuasion
86%,87%,giant_1956
13%,41%,the_king_and_i
Tomatometer,,the_ten_commandments
65%,73%,peyton_place
82%,79%,sayonara
100%,95%,witness_for_the_prosecution
90%,74%,gigi_1958
88%,93%,auntie_mame_1958
97%,92%,cat_on_a_hot_tin_roof_1958
87%,89%,ben_hur_1959
100%,91%,anatomy_of_a_murder
Tomatometer,,the_diary_of_anne_frank
85%,81%,the_nuns_story
100%,82%,room_at_the_top
93%,94%,the_apartment
94%,87%,elmer_gantry
Tomatometer,Popcornmeter,sons_and_lovers
92%,84%,west_side_story
56%,53%,fanny
93%,93%,judgment_at_nuremberg
93%,93%,lawrence_of_arabia
Tomatometer,,the_longest_day
94%,85%,the_music_man
96%,84%,mutiny_on_the_bounty
93%,93%,to_kill_a_mockingbird
83%,58%,tom_jones
67%,85%,america_america_1963
Tomatometer,,cleopatra
88%,74%,how_the_west_was_won_1963
94%,90%,my_fair_lady
75%,87%,becket
97%,86%,mary_poppins
79%,86%,zorba_the_greek
Tomatometer,,darling
Tomatometer,,doctor_zhivago_1965
63%,76%,ship_of_fools
Tomatometer,Watch on Fandango at Home,a_man_for_all_seasons
48%,51%,alfie
96%,90%,whos_afraid_of_virginia_woolf_1966
96%,92%,in_the_heat_of_the_night
91%,88%,bonnie_and_clyde_1967
29%,57%,doctor_dolittle
71%,85%,guess_whos_coming_to_dinner
90%,81%,oliver
95%,85%,funny_girl
Tomatometer,,the_lion_in_winter
92%,77%,rachel_rachel
95%,74%,romeo_and_juliet_1968
89%,88%,midnight_cowboy
43%,82%,anne_of_the_thousand_days
43%,75%,hello_dolly
